Journal,H Index,Impact Factor,
International Conference for High Performance Computing,17.0,1.6115982178273167
FPGA 2015 - 2015 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,71.0,2.7175867686822155
Proceedings - 2014 Power Systems Computation Conference,6.0,1.386304253764282
Proceedings - Symposium on Logic in Computer Science,12.0,1.5091918705259373
Proceedings of Co-HPC 2014: 1st International Workshop on Hardware-Software Co-Design for High Performance Computing - Held in Conjunction with SC 2014: The International Conference for High Performance Computing,5.0,1.365822984304006
ITCS 2014 - Proceedings of the 2014 Conference on Innovations in Theoretical Computer Science,1.0,1.2838979064629024
IEEE Symposium on Mass Storage Systems and Technologies,38.0,2.0417048764931107
Proceedings - 2014 Workshop on Fault Diagnosis and Tolerance in Cryptography,3.0,1.3248604453834543
AVEC 2014 - Proceedings of the 4th International Workshop on Audio/Visual Emotion Challenge,10.0,1.4682293316053854
IEEE International Conference on Intelligent Robots and Systems,90.0,3.106730888427457
HotMiddlebox 2015 - Proceedings of the 2015 ACM SIGCOMM Workshop on Hot Topics in Middleboxes and Network Function Virtualization,21.0,1.6935232956684203
SCA 2014 - Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation,20.0,1.6730420262081445
MM 2015 - Proceedings of the 2015 ACM Multimedia Conference,7.0,1.4067855232245579
2014 IEEE Workshop on Spoken Language Technology,55.0,2.389886457317801
FPGA 2016 - Proceedings of the 2016 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,13.0,1.5296731399862131
AVEC 2016 - Proceedings of the 6th International Workshop on Audio/Visual Emotion Challenge,13.0,1.5296731399862131
ACM SoCC 2015 - Proceedings of the 6th ACM Symposium on Cloud Computing,3.0,1.3248604453834543
WSDM 2015 - Proceedings of the 8th ACM International Conference on Web Search and Data Mining,6.0,1.386304253764282
WSDM 2014 - Proceedings of the 7th ACM International Conference on Web Search and Data Mining,4.0,1.34534171484373
L@S 2014 - Proceedings of the 1st ACM Conference on Learning at Scale,10.0,1.4682293316053854
Pacific Symposium on Biocomputing 2016,13.0,1.5296731399862131
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),49.0,2.2669988405561456
2014 IEEE Workshop on Spoken Language Technology,7.0,1.4067855232245579
HSCC 2014 - Proceedings of the 17th International Conference on Hybrid Systems: Computation and Control (Part of CPS Week),56.0,2.4103677267780768
MADiMa 2016 - Proceedings of the 2nd International Workshop on Multimedia Assisted Dietary Management,5.0,1.365822984304006
Proceedings - International Conference on Data Engineering,5.0,1.365822984304006
22nd European Meeting of Environmental and Engineering Geophysics,5.0,1.365822984304006
1st International Workshop on Rapid Continuous Software Engineering,8.0,1.4272667926848337
Proceedings - 3rd International Workshop on Building Analysis Datasets and Gathering Experience Returns for Security,2.0,1.3043791759231782
European Solid-State Circuits Conference,118.0,3.6802064333151825
Society of Petroleum Engineers - SPE Reservoir Simulation Symposium 2015,10.0,1.4682293316053854
Proceedings - Design Automation Conference,3.0,1.3248604453834543
WODA+PERTEA 2014: Joint 12th International Workshop on Dynamic Analysis and Workshop on Software and System Performance Testing,45.0,2.185073762715042
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,19.0,1.6525607567478686
MobiSys 2014 - Proceedings of the 12th Annual International Conference on Mobile Systems,11.0,1.4887106010656614
Proceedings of the Joint Meeting of the 23rd EACSL Annual Conference on Computer Science Logic,2.0,1.3043791759231782
Proceedings of the National Conference on Artificial Intelligence,2.0,1.3043791759231782
Proceedings - International Conference on Distributed Computing Systems,2.0,1.3043791759231782
UbiComp 2014 - Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,8.0,1.4272667926848337
Proceedings of the 2014 IEEE International Symposium on Hardware-Oriented Security and Trust,19.0,1.6525607567478686
HPDC 2014 - Proceedings of the 23rd International Symposium on High-Performance Parallel and Distributed Computing,9.0,1.4477480621451095
Proceedings of the 17th International Symposium on Principles and Practice of Declarative Programming,13.0,1.5296731399862131
2014 13th Annual Mediterranean Ad Hoc Networking Workshop,40.0,2.0826674154136624
PASC 2016 - Proceedings of the Platform for Advanced Scientific Computing Conference,46.0,2.205555032175318
SIGIR 2014 - Proceedings of the 37th International ACM SIGIR Conference on Research and Development in Information Retrieval,11.0,1.4887106010656614
33rd International Conference on Machine Learning,7.0,1.4067855232245579
CPSS 2015 - Proceedings of the 1st ACM Workshop on Cyber-Physical System Security,8.0,1.4272667926848337
ASIA CCS 2014 - Proceedings of the 9th ACM Symposium on Information,7.0,1.4067855232245579
2016 Optical Fiber Communications Conference and Exhibition,9.0,1.4477480621451095
2015 International Symposium on Network Coding,6.0,1.386304253764282
ISPASS 2014 - IEEE International Symposium on Performance Analysis of Systems and Software,9.0,1.4477480621451095
Proceedings of the International Conference on Artificial Intelligence and Law,3.0,1.3248604453834543
SIMULTECH 2014 - Proceedings of the 4th International Conference on Simulation and Modeling Methodologies,14.0,1.5501544094464892
Proceedings of the 2015 IEEE International Symposium on Hardware-Oriented Security and Trust,5.0,1.365822984304006
Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,12.0,1.5091918705259373
IJCAI International Joint Conference on Artificial Intelligence,2.0,1.3043791759231782
2015 IEEE Electric Ship Technologies Symposium,10.0,1.4682293316053854
30th AAAI Conference on Artificial Intelligence,105.0,3.413949930331596
Proceedings of the Annual Conference of the International Speech Communication Association,6.0,1.386304253764282
Proceedings of the International Symposium on Mobile Ad Hoc Networking and Computing (MobiHoc),10.0,1.4682293316053854
RecSys 2014 - Proceedings of the 8th ACM Conference on Recommender Systems,15.0,1.570635678906765
IEEE International Symposium on Information Theory - Proceedings,5.0,1.365822984304006
ITCS 2016 - Proceedings of the 2016 ACM Conference on Innovations in Theoretical Computer Science,8.0,1.4272667926848337
ICN 2014 - Proceedings of the 1st International Conference on Information-Centric Networking,6.0,1.386304253764282
MobiSys 2015 - Proceedings of the 13th Annual International Conference on Mobile Systems,8.0,1.4272667926848337
9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems,9.0,1.4477480621451095
Proceedings - 2015 IEEE Winter Conference on Applications of Computer Vision,89.0,3.086249618967181
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,3.0,1.3248604453834543
Proceedings of the ACM SIGPLAN International Conference on Functional Programming,5.0,1.365822984304006
WWW 2015 - Proceedings of the 24th International Conference on World Wide Web,6.0,1.386304253764282
2015 IEEE/ACM International Conference on Computer-Aided Design,12.0,1.5091918705259373
2015 IEEE 16th Workshop on Control and Modeling for Power Electronics,20.0,1.6730420262081445
Proceedings - 2014 Power Systems Computation Conference,3.0,1.3248604453834543
Annual ACM Symposium on Parallelism in Algorithms and Architectures,2.0,1.3043791759231782
DBPL 2015 - Proceedings of the 15th Symposium on Database Programming Languages,30.0,1.8778547208109035
